longitude,latitude
-120.249536,34.002477
-120.248484,33.999329
-120.246241,33.997868
-120.243972,33.999383
-120.239262,33.996497
-120.239409,33.993077
-120.230244,33.991238
-120.222106,33.987559
-120.219279,33.979028
-120.21434,33.976596
-120.209372,33.972376
-120.200085,33.956904
-120.198602,33.952211
-120.192339,33.950266
-120.18984,33.947703
-120.179049,33.927994
-120.180417,33.925103
-120.172666,33.922849
-120.168974,33.91909
-120.165248,33.916327
-120.159838,33.915914
-120.121817,33.895712
-120.115885,33.894361
-120.110168,33.895621
-120.109137,33.899129
-120.105489,33.90428
-120.098601,33.907853
-120.090779,33.909234
-120.077793,33.908886
-120.073406,33.912113
-120.067898,33.912521
-120.05679,33.913127
-120.049682,33.914563
-120.048611,33.915775
-120.048315,33.917625
-120.046881,33.919597
-120.041674,33.921045
-120.03918,33.924578
-120.028664,33.927853
-120.021686,33.932624
-120.020926,33.934991
-120.017715,33.936366
-120.00096,33.941554
-119.973691,33.942481
-119.968636,33.942878
-119.971869,33.945875
-119.971141,33.950401
-119.976857,33.956693
-119.979913,33.969623
-119.97902,33.981207
-119.980156,33.983653
-119.984316,33.983948
-120.003815,33.979547
-120.012906,33.980952
-120.014032,33.983413
-120.025781,33.986137
-120.027336,33.988505
-120.033254,33.9899
-120.041311,33.994507
-120.046575,34.000002
-120.047108,34.006329
-120.048926,34.009898
-120.050382,34.013331
-120.047798,34.021227
-120.044004,34.02482
-120.043212,34.027536
-120.045272,34.031692
-120.043259,34.035806
-120.055107,34.037729
-120.057637,34.03734
-120.061953,34.033976
-120.062778,34.031161
-120.066275,34.029003
-120.070545,34.029098
-120.073609,34.024477
-120.090182,34.019806
-120.115058,34.019866
-120.120043,34.023245
-120.123385,34.022357
-120.135853,34.026087
-120.140362,34.025974
-120.147647,34.024831
-120.151663,34.018126
-120.160665,34.011637
-120.167306,34.008219
-120.176847,34.006317
-120.180264,34.006428
-120.183697,34.007737
-120.189281,34.006625
-120.191642,34.004856
-120.19578,34.004284
-120.208478,34.005655
-120.221287,34.010367
-120.230001,34.010136
-120.233675,34.008659
-120.237297,34.009284
-120.238657,34.007592
-120.245466,34.002484
-120.249536,34.002477
