longitude,latitude
-119.929889,34.059734
-119.926544,34.057399
-119.922102,34.056872
-119.916216,34.058351
-119.892821,34.045529
-119.887284,34.042197
-119.886199,34.037049
-119.881808,34.036553
-119.876329,34.032087
-119.876916,34.023527
-119.882531,34.011674
-119.887,34.008584
-119.884141,34.001601
-119.881403,33.992339
-119.877057,33.985757
-119.873358,33.980375
-119.86554,33.979266
-119.850989,33.969009
-119.848287,33.967636
-119.842355,33.970209
-119.831153,33.968635
-119.819825,33.963402
-119.818249,33.959858
-119.803901,33.963993
-119.799124,33.962649
-119.793443,33.962811
-119.789723,33.959259
-119.77017,33.96226
-119.758141,33.959212
-119.750438,33.963759
-119.742966,33.963877
-119.728119,33.961802
-119.721206,33.959583
-119.714696,33.961439
-119.712363,33.965422
-119.706452,33.968133
-119.700581,33.966693
-119.69833,33.970738
-119.69011,33.972225
-119.674832,33.978429
-119.662825,33.985889
-119.64771,33.987786
-119.633729,33.987243
-119.621117,33.98899
-119.619082,33.987228
-119.596877,33.988611
-119.5902,33.989712
-119.575636,33.996009
-119.560464,33.99553
-119.554472,33.99782
-119.547072,34.005469
-119.54828,34.009819
-119.5425,34.015042
-119.543957,34.017915
-119.542449,34.021082
-119.538847,34.023988
-119.532413,34.024949
-119.527524,34.026445
-119.52177,34.032247
-119.52064,34.034262
-119.529603,34.041155
-119.540344,34.044716
-119.546262,34.044645
-119.547532,34.04837
-119.550704,34.046431
-119.556116,34.0488
-119.556714,34.052064
-119.562347,34.055283
-119.5667,34.053452
-119.573251,34.052958
-119.57341,34.05011
-119.579752,34.050705
-119.584301,34.053643
-119.58901,34.051818
-119.5888,34.048913
-119.59498,34.049504
-119.595931,34.045762
-119.599534,34.044796
-119.609239,34.03735
-119.608798,34.035245
-119.604287,34.031561
-119.612226,34.021256
-119.619343,34.016468
-119.637742,34.013178
-119.639849,34.015445
-119.642995,34.016605
-119.651395,34.015718
-119.651341,34.017481
-119.65454,34.019927
-119.658539,34.019033
-119.668304,34.016628
-119.673549,34.019552
-119.686507,34.019805
-119.68935,34.025217
-119.693145,34.029287
-119.700587,34.033695
-119.704628,34.037681
-119.712576,34.043265
-119.726437,34.047908
-119.731217,34.048418
-119.734507,34.046087
-119.739472,34.049299
-119.747856,34.053174
-119.755114,34.053817
-119.755521,34.056716
-119.759428,34.058835
-119.763688,34.057155
-119.766081,34.05537
-119.770729,34.055051
-119.789798,34.05726
-119.796059,34.057026
-119.800917,34.054094
-119.807825,34.052127
-119.815258,34.054065
-119.818742,34.052997
-119.825865,34.059794
-119.857304,34.071298
-119.883835,34.074468
-119.89113,34.072856
-119.912857,34.077508
-119.919155,34.07728
-119.919413,34.074117
-119.923337,34.069361
-119.922888,34.067136
-119.919413,34.065257
-119.922027,34.060532
-119.925448,34.060816
-119.929889,34.059734
